cut_month,num_product,disbursement_date,end_date,days_past_due,loan_term,amortization,loan_amount,interest_rate,installment_amount,outstanding_balance,agency_code,agency_name,product_code,product_name
202409,1000,06/09/2024,06/09/2027,0,36,30,5410,0.05,162.1426,5410,50,Whitby,1,Education
202410,1000,06/09/2024,06/09/2027,0,36,30,5410,0.05,162.1426,5270,50,Whitby,1,Education
202411,1000,06/09/2024,06/09/2027,0,36,30,5410,0.05,162.1426,5130,50,Whitby,1,Education
202412,1000,06/09/2024,06/09/2027,0,36,30,5410,0.05,162.1426,4989,50,Whitby,1,Education
202501,1000,06/09/2024,06/09/2027,0,36,30,5410,0.05,162.1426,4848,50,Whitby,1,Education
202502,1000,06/09/2024,06/09/2027,0,36,30,5410,0.05,162.1426,4706,50,Whitby,1,Education
202503,1000,06/09/2024,06/09/2027,0,36,30,5410,0.05,162.1426,4563,50,Whitby,1,Education
202504,1000,06/09/2024,06/09/2027,0,36,30,5410,0.05,162.1426,4420,50,Whitby,1,Education
202206,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,4070,20,North York,3,Taxes loan
202207,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,3971,20,North York,3,Taxes loan
202208,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,3871,20,North York,3,Taxes loan
202209,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,3771,20,North York,3,Taxes loan
202210,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,3669,20,North York,3,Taxes loan
202211,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,3568,20,North York,3,Taxes loan
202212,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,3465,20,North York,3,Taxes loan
202301,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,3361,20,North York,3,Taxes loan
202302,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,3257,20,North York,3,Taxes loan
202303,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,3152,20,North York,3,Taxes loan
202304,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,3046,20,North York,3,Taxes loan
202305,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,2940,20,North York,3,Taxes loan
202306,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,2833,20,North York,3,Taxes loan
202307,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,2724,20,North York,3,Taxes loan
202308,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,2615,20,North York,3,Taxes loan
202309,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,2506,20,North York,3,Taxes loan
202310,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,2395,20,North York,3,Taxes loan
202311,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,2283,20,North York,3,Taxes loan
202312,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,2171,20,North York,3,Taxes loan
202401,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,2058,20,North York,3,Taxes loan
202402,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,1944,20,North York,3,Taxes loan
202403,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,1829,20,North York,3,Taxes loan
202404,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,1713,20,North York,3,Taxes loan
202405,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,1597,20,North York,3,Taxes loan
202406,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,1479,20,North York,3,Taxes loan
202407,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,1361,20,North York,3,Taxes loan
202408,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,1242,20,North York,3,Taxes loan
202409,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,1122,20,North York,3,Taxes loan
202410,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,1001,20,North York,3,Taxes loan
202411,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,879,20,North York,3,Taxes loan
202412,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,756,20,North York,3,Taxes loan
202501,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,632,20,North York,3,Taxes loan
202502,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,508,20,North York,3,Taxes loan
202503,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,382,20,North York,3,Taxes loan
202504,1001,05/06/2022,05/06/2025,0,36,30,4070,0.09,129.4249,255,20,North York,3,Taxes loan
202208,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,9810,20,North York,2,General
202209,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,9635,20,North York,2,General
202210,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,9460,20,North York,2,General
202211,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,9284,20,North York,2,General
202212,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,9106,20,North York,2,General
202301,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,8927,20,North York,2,General
202302,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,8747,20,North York,2,General
202303,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,8566,20,North York,2,General
202304,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,8384,20,North York,2,General
202305,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,8200,20,North York,2,General
202306,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,8015,20,North York,2,General
202307,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,7829,20,North York,2,General
202308,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,7642,20,North York,2,General
202309,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,7454,20,North York,2,General
202310,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,7264,20,North York,2,General
202311,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,7073,20,North York,2,General
202312,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,6880,20,North York,2,General
202401,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,6687,20,North York,2,General
202402,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,6492,20,North York,2,General
202403,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,6296,20,North York,2,General
202404,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,6098,20,North York,2,General
202405,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,5899,20,North York,2,General
202406,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,5699,20,North York,2,General
202407,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,5498,20,North York,2,General
202408,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,5295,20,North York,2,General
202409,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,5091,20,North York,2,General
202410,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,4885,20,North York,2,General
202411,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,4678,20,North York,2,General
202412,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,4470,20,North York,2,General
202501,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,4260,20,North York,2,General
202502,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,4049,20,North York,2,General
202503,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,3837,20,North York,2,General
202504,1002,06/08/2022,06/08/2026,0,48,30,9810,0.08,239.4908,3623,20,North York,2,General
202202,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,8580,30,Missisauga,2,General
202203,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,8368,30,Missisauga,2,General
202204,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,8155,30,Missisauga,2,General
202205,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,7940,30,Missisauga,2,General
202206,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,7724,30,Missisauga,2,General
202207,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,7507,30,Missisauga,2,General
202208,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,7288,30,Missisauga,2,General
202209,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,7068,30,Missisauga,2,General
202210,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,6846,30,Missisauga,2,General
202211,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,6623,30,Missisauga,2,General
202212,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,6398,30,Missisauga,2,General
202301,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,6172,30,Missisauga,2,General
202302,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,5944,30,Missisauga,2,General
202303,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,5715,30,Missisauga,2,General
202304,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,5484,30,Missisauga,2,General
202305,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,5252,30,Missisauga,2,General
202306,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,5018,30,Missisauga,2,General
202307,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,4783,30,Missisauga,2,General
202308,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,4546,30,Missisauga,2,General
202309,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,4307,30,Missisauga,2,General
202310,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,4067,30,Missisauga,2,General
202311,1003,16/02/2022,16/02/2025,0,36,30,8580,0.08,268.866,3825,30,Missisauga,2,General
