cut_month,disbursement_month,loan_term,interest_rate,agency_code,agency_name,product_code,product_name,credit_status,loan_amount,loan_amount_count,outstanding_balance,count_records
202201,202201,12,0.08,10,Toronto,2,General,Excellent,2150,1,2150,1
202201,202201,12,0.09,40,Pickering,3,Taxes loan,Excellent,6220,1,6220,1
202201,202201,12,0.1,40,Pickering,4,Travel,Excellent,9030,1,9030,1
202201,202201,24,0.05,20,North York,1,Education,Excellent,3210,1,3210,1
202201,202201,24,0.05,30,Missisauga,1,Education,Excellent,7590,1,7590,1
202201,202201,24,0.08,30,Missisauga,2,General,Excellent,5370,1,5370,1
202201,202201,24,0.08,40,Pickering,2,General,Excellent,8630,1,8630,1
202201,202201,24,0.1,10,Toronto,4,Travel,Excellent,4420,1,4420,1
202201,202201,36,0.08,10,Toronto,2,General,Excellent,8330,1,8330,1
202201,202201,36,0.08,30,Missisauga,2,General,Excellent,690,1,690,1
202201,202201,36,0.09,50,Whitby,3,Taxes loan,Excellent,770,1,770,1
202201,202201,36,0.1,10,Toronto,4,Travel,Excellent,6470,2,6470,2
202201,202201,48,0.05,40,Pickering,1,Education,Excellent,9450,2,9450,2
202201,202201,48,0.05,50,Whitby,1,Education,Excellent,1850,1,1850,1
202201,202201,48,0.08,20,North York,2,General,Excellent,1100,1,1100,1
202201,202201,48,0.08,30,Missisauga,2,General,Excellent,8650,2,8650,2
202201,202201,48,0.09,10,Toronto,3,Taxes loan,Excellent,3680,1,3680,1
202201,202201,48,0.1,50,Whitby,4,Travel,Excellent,4590,1,4590,1
202201,202201,60,0.05,10,Toronto,1,Education,Excellent,7020,1,7020,1
202201,202201,60,0.05,20,North York,1,Education,Excellent,8490,1,8490,1
202201,202201,60,0.05,30,Missisauga,1,Education,Excellent,11600,2,11600,2
202201,202201,60,0.08,20,North York,2,General,Excellent,7420,2,7420,2
202201,202201,60,0.1,20,North York,4,Travel,Excellent,6660,1,6660,1
202202,202201,12,0.08,10,Toronto,2,General,Excellent,0,0,1977,1
202202,202201,12,0.09,40,Pickering,3,Taxes loan,Excellent,0,0,5722,1
202202,202201,12,0.1,40,Pickering,4,Travel,Excellent,0,0,8311,1
202202,202201,24,0.05,20,North York,1,Education,Excellent,0,0,3082,1
202202,202201,24,0.05,30,Missisauga,1,Education,Excellent,0,0,7288,1
202202,202201,24,0.08,30,Missisauga,2,General,Excellent,0,0,5162,1
202202,202201,24,0.08,40,Pickering,2,General,Excellent,0,0,8297,1
202202,202201,24,0.1,10,Toronto,4,Travel,Excellent,0,0,4252,1
202202,202201,36,0.08,10,Toronto,2,General,Excellent,0,0,8124,1
202202,202201,36,0.08,30,Missisauga,2,General,Excellent,0,0,672,1
202202,202201,36,0.09,50,Whitby,3,Taxes loan,Excellent,0,0,751,1
202202,202201,36,0.1,10,Toronto,4,Travel,Excellent,0,0,6314,2
202202,202201,48,0.05,40,Pickering,1,Education,Excellent,0,0,3404,1
202202,202201,48,0.05,40,Pickering,1,Education,Regular,0,0,5980,1
202202,202201,48,0.05,50,Whitby,1,Education,Excellent,0,0,1815,1
202202,202201,48,0.08,20,North York,2,General,Excellent,0,0,1080,1
202202,202201,48,0.08,30,Missisauga,2,General,Excellent,0,0,8495,2
202202,202201,48,0.09,10,Toronto,3,Taxes loan,Excellent,0,0,3616,1
202202,202201,48,0.1,50,Whitby,4,Travel,Excellent,0,0,4511,1
202202,202201,60,0.05,10,Toronto,1,Education,Excellent,0,0,6916,1
202202,202201,60,0.05,20,North York,1,Education,Excellent,0,0,8365,1
