index,date,time,utcdate,utctime,wx_desc,wx_code,wx_icon,temp_c,temp_f,feelslike_c,feelslike_f,winddir_deg,winddir_compass,windspd_mph,windspd_kmh,windspd_kts,windspd_ms,windgst_mph,windgst_kmh,windgst_kts,windgst_ms,cloud_low_pct,cloud_mid_pct,cloud_high_pct,cloudtotal_pct,precip_mm,precip_in,rain_mm,rain_in,snow_mm,snow_in,snow_accum_cm,snow_accum_in,prob_precip_pct,humid_pct,dewpoint_c,dewpoint_f,vis_km,vis_mi,slp_mb,slp_in,time_text
2157,09/12/2024,2000,10/12/2024,0,Overcast skies,3,Overcast.gif,0.5,32.9,-3.6,25.6,62,ENE,9,14,8,3.9,14,22,12,6.1,99,50,94,100,0.1,0,0,0,0,0,0,0,96,96,0,31.9,10,6.2,1010,29.9,20:00
2158,09/12/2024,2300,10/12/2024,300,Mist,10,Mist.gif,-0.1,31.7,-2.5,27.5,99,E,4,7,4,1.9,9,14,7,3.8,98,9,99,100,0,0,0,0,0,0,0,0,<1,97,-0.6,30.9,2,1.2,1011,29.93,23:00
2159,10/12/2024,200,10/12/2024,600,Fog,45,Fog.gif,1.3,34.4,0.6,33.2,139,SE,2,4,2,1,4,7,4,2,93,98,100,100,0,0,0,0,0,0,0,0,<1,97,0.9,33.7,0,0,1012,29.96,02:00
2160,10/12/2024,500,10/12/2024,900,Fog,45,Fog.gif,0.9,33.7,-0.4,31.3,226,SW,3,5,3,1.3,6,10,5,2.7,94,42,6,100,0.1,0,0,0,0,0,0,0,<1,98,0.6,33.1,0,0,1012,29.98,05:00
2161,10/12/2024,800,10/12/2024,1200,Fog,45,Fog.gif,1.4,34.6,-1.3,29.6,224,SW,6,9,5,2.5,12,19,10,5.2,70,45,3,100,0,0,0,0,0,0,0,0,<1,97,1,33.9,0,0,1014,30.02,08:00
2162,10/12/2024,1100,10/12/2024,1500,Mist,10,Mist.gif,3.1,37.6,2.9,37.1,261,W,2,3,2,0.9,3,5,3,1.5,43,100,0,78,0,0,0,0,0,0,0,0,<1,96,2.5,36.5,2,1.2,1014,30.02,11:00
2163,10/12/2024,1400,10/12/2024,1800,Mist,10,Mist.gif,4.2,39.6,4.5,40.1,14,NNE,2,3,1,0.7,2,4,2,1,44,100,1,79,0,0,0,0,0,0,0,0,<1,95,3.5,38.3,2,1.2,1013,29.99,14:00
2164,10/12/2024,1700,10/12/2024,2100,Fog,45,Fog.gif,4.1,39.3,2.1,35.8,48,NE,5,8,4,2.2,8,13,7,3.7,68,43,1,100,0,0,0,0,0,0,0,0,<1,99,3.9,39.1,0,0,1012,29.97,17:00
2165,10/12/2024,2000,11/12/2024,0,Fog,45,Fog.gif,3,37.4,0.9,33.7,24,NNE,5,8,4,2.1,9,15,8,4.1,63,61,33,100,0,0,0,0,0,0,0,0,<1,99,2.9,37.2,0,0,1012,29.97,20:00
2166,10/12/2024,2300,11/12/2024,300,Moderate rain,63,ModRain.gif,2.1,35.8,-1,30.1,58,ENE,7,11,6,3.1,15,24,13,6.6,85,71,9,100,2.8,0.1,3,1,0,0,0,0,87,99,2,35.5,7,4.3,1010,29.9,23:00
2167,11/12/2024,200,11/12/2024,600,Light drizzle,51,OccLightRain.gif,1.6,35,-0.2,31.7,19,NNE,4,6,3,1.7,8,13,7,3.5,94,82,20,100,0.7,0,0,0,0,0,0,0,85,98,1.4,34.5,2,1.2,1007,29.83,02:00
2168,11/12/2024,500,11/12/2024,900,Light drizzle,51,OccLightRain.gif,1,33.7,-1.2,29.8,332,NNW,4,7,4,1.9,9,14,8,4,96,100,100,100,0.6,0,0,0,0,0,0,0,84,98,0.7,33.3,2,1.2,1006,29.8,05:00
2169,11/12/2024,800,11/12/2024,1200,Light rain,61,OccLightRain.gif,1.5,34.8,-1.7,28.9,332,NNW,7,11,6,3.1,14,22,12,6.2,100,76,65,100,1.1,0,1,0,0,0,0,0,83,98,1.3,34.4,9,5.6,1005,29.76,08:00
2170,11/12/2024,1100,11/12/2024,1500,Moderate rain,63,ModRain.gif,3.2,37.8,0.4,32.7,344,NNW,7,11,6,3,10,15,8,4.3,93,43,0,100,4.5,0.2,4,2,0,0,0,0,82,98,2.9,37.2,7,4.3,1004,29.72,11:00
2171,11/12/2024,1400,11/12/2024,1800,Light sleet,68,ModSleet.gif,4.4,39.8,1.6,34.9,266,W,7,12,6,3.2,8,13,7,3.7,99,100,0,100,1.3,0.1,1,1,0,0,0,0,81,98,4.1,39.3,9,5.6,1002,29.66,14:00
2172,11/12/2024,1700,11/12/2024,2100,Moderate or heavy sleet,69,HeavySleet.gif,4.1,39.4,0.5,33,282,WNW,10,16,9,4.4,11,18,10,5.1,96,44,0,100,2.6,0.1,3,1,0,0,0,0,80,98,3.9,39,6,3.7,1001,29.63,17:00
2173,11/12/2024,2000,12/12/2024,0,Blowing snow,38,ModSnow.gif,2.9,37.3,-2.4,27.6,254,WSW,17,28,15,7.8,20,32,17,9,86,44,0,100,0.8,0,0,0,0,0,0,0,79,89,1.3,34.3,2,1.2,1000,29.6,20:00
2174,11/12/2024,2300,12/12/2024,300,Light snow,71,OccLightSnow.gif,2.1,35.8,-4.3,24.3,258,WSW,23,37,20,10.2,26,42,23,11.8,61,44,0,76,0.4,0,0,0,0,0,0,0,78,84,-0.3,31.4,10,6.2,1001,29.63,23:00
2175,12/12/2024,200,12/12/2024,600,Light snow,71,OccLightSnow.gif,-0.1,31.8,-7.6,18.3,249,WSW,26,41,22,11.5,30,48,26,13.2,71,100,0,100,0.4,0,0,0,0,0,0,0,77,77,-3.7,25.4,10,6.2,1002,29.68,02:00
2176,12/12/2024,500,12/12/2024,900,Blowing snow,38,ModSnow.gif,-1.2,29.8,-9.8,14.4,251,WSW,31,50,27,13.9,36,57,31,15.9,73,98,0,100,1,0,0,0,1,0,0.9,0.3,76,78,-4.6,23.8,2,1.2,1004,29.74,05:00
2177,12/12/2024,800,12/12/2024,1200,Light snow,71,OccLightSnow.gif,-2.1,28.2,-10.4,13.3,246,WSW,26,42,23,11.7,30,49,26,13.5,79,91,0,100,0.2,0,0,0,0,0,0,0,<1,77,-5.6,21.9,10,6.2,1008,29.86,08:00
2178,12/12/2024,1100,12/12/2024,1500,Patchy snow possible,22,OccLightSnow.gif,-2.7,27.1,-11.4,11.5,257,WSW,28,44,24,12.3,32,51,28,14.2,32,30,0,42,0.2,0,0,0,0,0,0,0,<1,72,-7.1,19.3,9,5.6,1013,30.01,11:00
2179,12/12/2024,1400,12/12/2024,1800,Cloudy skies,2,Cloudy.gif,-4,24.8,-13.1,8.4,257,WSW,27,44,24,12.2,32,51,27,14.1,11,46,0,77,0,0,0,0,0,0,0,0,<1,66,-9.3,15.2,10,6.2,1018,30.14,14:00
2180,12/12/2024,1700,12/12/2024,2100,Partly cloudy skies,1,PartlyCloudyDay.gif,-5.5,22.1,-14.8,5.3,263,W,26,41,22,11.4,30,48,26,13.2,0,41,0,42,0,0,0,0,0,0,0,0,<1,64,-11.2,11.8,10,6.2,1022,30.27,17:00
2181,12/12/2024,2000,13/12/2024,0,Clear skies,0,Clear.gif,-6.2,20.9,-15.1,4.9,260,W,22,35,19,9.7,26,41,22,11.5,3,10,0,18,0,0,0,0,0,0,0,0,<1,69,-10.9,12.4,10,6.2,1026,30.39,20:00
2182,12/12/2024,2300,13/12/2024,300,Clear skies,0,Clear.gif,-6,21.1,-14.6,5.8,256,WSW,20,32,17,8.9,24,39,21,10.7,0,6,0,6,0,0,0,0,0,0,0,0,<1,70,-10.5,13.1,10,6.2,1029,30.48,23:00
2183,13/12/2024,200,13/12/2024,600,Clear skies,0,Clear.gif,-5.9,21.3,-13.8,7.1,262,W,17,27,15,7.6,20,32,17,8.8,0,9,0,9,0,0,0,0,0,0,0,0,<1,72,-10.1,13.8,10,6.2,1031,30.54,02:00
2184,13/12/2024,500,13/12/2024,900,Clear skies,0,Clear.gif,-6.5,20.3,-13.7,7.3,263,W,14,22,12,6.1,17,28,15,7.8,0,2,0,2,0,0,0,0,0,0,0,0,<1,71,-10.8,12.6,10,6.2,1033,30.6,05:00
2185,13/12/2024,800,13/12/2024,1200,Clear skies,0,Clear.gif,-5.8,21.5,-12.4,9.7,258,WSW,12,19,10,5.3,13,22,12,6,0,11,0,11,0,0,0,0,0,0,0,0,<1,71,-10.2,13.7,10,6.2,1036,30.67,08:00
